Subject,Age,Gender,Income,Race,NumofChildren
1,36,Female,"$75,000 ",Latino,2
2,56,Female,"$50,000 ",White,1
3,55,Female,"$90,000 ",White,0
4,36,Male,"$50,000 ",African-American,4
5,44,Male,"$45,000 ",White,2
6,26,Male,"$30,000 ",White,2
7,32,Male,"$40,000 ",White,4
8,24,Male,"$15,000 ",Asian-American,0
9,42,Male,"$60,000 ",White,2
10,54,Female,"$25,000 ",White,3
11,56,Female,"$70,000 ",Latino,1
12,36,Female,"$36,000 ",White,2
13,33,Male,"$55,000 ",African-American,2
14,38,Female,"$57,000 ",African-American,3
15,45,Female,"$48,000 ",White,4
16,53,Female,"$65,000 ",Other,0
17,34,Male,"$90,000 ",White,1
18,36,Male,"$12,000 ",White,3
19,40,Male,"$23,000 ",Latino,5
20,36,Male,"$85,000 ",White,1
21,26,Female,"$15,000 ",African-American,3
22,52,Female,"$50,000 ",White,0
23,68,Male,"$125,000 ",White,2
24,25,Male,"$45,000 ",Latino,1
25,34,Male,"$33,000 ",White,3
26,57,Female,"$60,000 ",White,0
27,60,Female,"$88,000 ",Asian-American,0
28,63,Male,"$60,000 ",Other,0
29,30,Male,"$42,000 ",White,4
30,38,Female,"$45,000 ",Asian-American,2
